Address  Disassembly                                                                                                                                                                                              String                                                                                                                                                                                                                                                                                                                                                                                                                                                                
743B7626 mov eax,gdi32.743CE12C                                                                                                                                                                                   "&v;tFu;t"
743B772F mov eax,gdi32.743CE090                                                                                                                                                                                   "/w;t"
743B774D mov eax,gdi32.743CE0CC                                                                                                                                                                                   "Mw;tWw;t"
743B7757 mov eax,gdi32.743CE0D0                                                                                                                                                                                   "Ww;t"
743B7936 mov eax,gdi32.743CE150                                                                                                                                                                                   "6y;tVy;tvy;tVz;t"
743B7956 mov eax,gdi32.743CE154                                                                                                                                                                                   "Vy;tvy;tVz;t"
743B7976 mov eax,gdi32.743CE158                                                                                                                                                                                   "vy;tVz;t"
743B7A56 mov eax,gdi32.743CE15C                                                                                                                                                                                   "Vz;t"
743B7C60 mov eax,gdi32.743CE194                                                                                                                                                                                   "`|;t"
743B7C6A mov eax,gdi32.743CE1CC                                                                                                                                                                                   "j|;t"
743BCC25 mov eax,dword ptr ds:[eax+180290]                                                                                                                                                                        "8R"
743BF034 imul esi,dword ptr ss:[ebp+ebp*2+61],kernelbase.74744170                                                                                                                                                 &"GetSystemWow64DirectoryW"
743C064E imul esi,dword ptr ss:[ebp+ebp*2+61],kernelbase.74744170                                                                                                                                                 &"GetSystemWow64DirectoryW"
743C0EB6 imul esi,dword ptr ss:[ebp+ebp*2+61],kernelbase.74744170                                                                                                                                                 &"GetSystemWow64DirectoryW"
743C2E30 sar byte ptr ds:[eax+eax+6A2000],0                                                                                                                                                                       L"magyar"
743C491F imul esi,dword ptr ss:[ebp+ebp*2+61],kernelbase.74744170                                                                                                                                                 &"GetSystemWow64DirectoryW"
743C6CEE imul ebp,dword ptr gs:[bx+6E],kernelbase.74784500                                                                                                                                                        &"ext-ms-win-security-capauthz-l1-1-1.dll"
743C74D3 imul esi,dword ptr ss:[ebp+ebp*2+61],kernelbase.74744170                                                                                                                                                 &"GetSystemWow64DirectoryW"
743C8056 imul ebp,dword ptr ds:[esi+74],kernelbase.74786500                                                                                                                                                       &"P{~t"
743C88C9 imul esp,dword ptr ss:[ebp+73],kernelbase.74786500                                                                                                                                                       &"P{~t"
743C8975 imul esp,dword ptr ss:[esp+esi*2+68],kernelbase.74786500                                                                                                                                                 &"P{~t"
743C8A0E imul esp,dword ptr ss:[ebp+73],kernelbase.74786500                                                                                                                                                       &"P{~t"
743C8A8F imul edi,dword ptr ds:[edx+65],kernelbase.74786500                                                                                                                                                       &"P{~t"
743C8C27 push kernelbase.74786500                                                                                                                                                                                 &"P{~t"
743C9099 push kernelbase.74786500                                                                                                                                                                                 &"P{~t"
743C91BC imul esi,dword ptr ss:[ebp+ebp*2+61],kernelbase.74744170                                                                                                                                                 &"GetSystemWow64DirectoryW"
74756995 imul esi,dword ptr ss:[ebp+74],kernelbase.747D54B4                                                                                                                                                       "AddLayeredRef"
74758CE0 imul eax,dword ptr ds:[eax],6C0074                                                                                                                                                                       L"nyarwanda (Rwanda)"
74764255 fild st(0),word ptr ss:[esp+esi*2+747C75BC]                                                                                                                                                              "GetSerializedAuthBuffer"
747642A5 fld st(0),dword ptr ss:[esp+esi*2+747C7640]                                                                                                                                                              "AcmEngineCollect"
747642CD fld st(0),dword ptr ss:[esp+esi*2+747C76B0]                                                                                                                                                              "AcmMatchPluginExecute"
7476447D test byte ptr ss:[esp+esi*2+747C7AA4],F0                                                                                                                                                                 "AuditComputeEffectivePolicyBySid"
7476452D rol byte ptr ss:[esp+esi*2+747C7CD4],1                                                                                                                                                                   "BuildTrusteeWithNameW"
74764535 rol byte ptr ss:[esp+esi*2+747C7CEC],1                                                                                                                                                                   "BuildTrusteeWithObjectsAndSidA"
7476454D rol byte ptr ss:[esp+esi*2+747C7D44],1                                                                                                                                                                   "BuildTrusteeWithSidW"
74764565 test byte ptr ss:[esp+esi*2+747C7D8C],60                                                                                                                                                                 "ChangeServiceConfigW"
7476456D test byte ptr ss:[esp+esi*2+747C7DA4],70                                                                                                                                                                 "CheckForHiberboot"
74764575 test byte ptr ss:[esp+esi*2+747C7DB8],70                                                                                                                                                                 "CheckTokenMembership"
74764635 test byte ptr ss:[esp+esi*2+747C8048],60                                                                                                                                                                 "CreateProcessAsUserW"
7476463D test byte ptr ss:[esp+esi*2+747C8060],60                                                                                                                                                                 "CreateProcessWithLogonW"
74764645 test byte ptr ss:[esp+esi*2+747C8078],D0                                                                                                                                                                 "CreateProcessWithTokenW"
7476466D test byte ptr ss:[esp+esi*2+747C80DC],70                                                                                                                                                                 "CredDeleteA"
747647CD test dword ptr ss:[esp+esi*2+747C8444],kernelbase.748CF700                                                                                                                                               "CryptGetKeyParam"
747647DD test dword ptr ss:[esp+esi*2+747C846C],kernelbase.7485C670                                                                                                                                               "CryptGetUserKey"
74764885 rol byte ptr ss:[esp+esi*2+747C8600],cl                                                                                                                                                                  "ElfFlushEventLog"
7476488D rol byte ptr ss:[esp+esi*2+747C8614],cl                                                                                                                                                                  "ElfRegisterEventSourceW"
7476489D test dword ptr ss:[esp+esi*2+747C863C],kernelbase.748CF780                                                                                                                                               "EnableTrace"
747648AD test dword ptr ss:[esp+esi*2+747C8658],kernelbase.7485C420                                                                                                                                               "EncryptFileW"
747648F5 test dword ptr ss:[esp+esi*2+747C8720],kernelbase.7484E650                                                                                                                                               "EqualDomainSid"
74764925 fild st(0),word ptr ss:[esp+esi*2+747C8790]                                                                                                                                                              "EventEnabled"
74764965 test dword ptr ss:[esp+esi*2+747C8820],kernelbase.7484ECB0                                                                                                                                               "EventWriteStartScenario"
747649D5 test dword ptr ss:[esp+esi*2+747C895C],kernelbase.748CF7A0                                                                                                                                               "GetEffectiveRightsFromAclW"
747649ED test dword ptr ss:[esp+esi*2+747C89AC],kernelbase.748D1190                                                                                                                                               "GetFileSecurityA"
74764A05 test dword ptr ss:[esp+esi*2+747C89EC],kernelbase.748D1190                                                                                                                                               "GetKernelObjectSecurity"
74764B75 test byte ptr ss:[esp+esi*2+747C8DE4],E0                                                                                                                                                                 "LogonUserExW"
74764BCD rol byte ptr ss:[esp+esi*2+747C8EC0],cl                                                                                                                                                                  "LsaCreateAccount"
74764BE5 rol byte ptr ss:[esp+esi*2+747C8EF0],cl                                                                                                                                                                  "LsaEnumerateAccountRights"
74764C0D rol byte ptr ss:[esp+esi*2+747C8F74],cl                                                                                                                                                                  "LsaGetDeviceRegistrationInfo"
74764C15 rol byte ptr ss:[esp+esi*2+747C8F94],cl                                                                                                                                                                  "LsaGetSystemAccessAccount"
74764CE5 test byte ptr ss:[esp+esi*2+747C91C8],10                                                                                                                                                                 "MakeAbsoluteSD2"
74764E8D fild st(0),word ptr ss:[esp+esi*2+747C95FC]                                                                                                                                                              "RegDeleteKeyExA"
74764EB5 fild st(0),word ptr ss:[esp+esi*2+747C9658]                                                                                                                                                              "RegDeleteTreeW"
74764EBD fild st(0),word ptr ss:[esp+esi*2+747C9668]                                                                                                                                                              "RegDeleteValueA"
74764EC5 fild st(0),word ptr ss:[esp+esi*2+747C9678]                                                                                                                                                              "RegDeleteValueW"
74764ECD fild st(0),word ptr ss:[esp+esi*2+747C9688]                                                                                                                                                              "RegDisablePredefinedCache"
74764F4D fild st(0),word ptr ss:[esp+esi*2+747C97A8]                                                                                                                                                              "RegOpenKeyA"
74764F95 fild st(0),word ptr ss:[esp+esi*2+747C9850]                                                                                                                                                              "RegQueryValueA"
7476501D fild st(0),word ptr ss:[esp+esi*2+747C9964]                                                                                                                                                              "RegisterEventSourceA"
74765195 fadd st(0),qword ptr ss:[esp+esi*2+747C9D84]                                                                                                                                                             "SystemFunction009"
7476519D fadd st(0),qword ptr ss:[esp+esi*2+747C9D98]                                                                                                                                                             "SystemFunction011"
747651A5 fadd st(0),qword ptr ss:[esp+esi*2+747C9DAC]                                                                                                                                                             "SystemFunction012"
747651AD fadd st(0),qword ptr ss:[esp+esi*2+747C9DC0]                                                                                                                                                             "SystemFunction013"
747651B5 fadd st(0),qword ptr ss:[esp+esi*2+747C9DD4]                                                                                                                                                             "SystemFunction014"
747651BD fadd st(0),qword ptr ss:[esp+esi*2+747C9DE8]                                                                                                                                                             "SystemFunction015"
747651C5 fadd st(0),qword ptr ss:[esp+esi*2+747C9DFC]                                                                                                                                                             "SystemFunction016"
747651CD fadd st(0),qword ptr ss:[esp+esi*2+747C9E10]                                                                                                                                                             "SystemFunction018"
747651D5 fadd st(0),qword ptr ss:[esp+esi*2+747C9E24]                                                                                                                                                             "SystemFunction020"
747651DD fadd st(0),qword ptr ss:[esp+esi*2+747C9E38]                                                                                                                                                             "SystemFunction021"
747651E5 fadd st(0),qword ptr ss:[esp+esi*2+747C9E4C]                                                                                                                                                             "SystemFunction022"
747651ED fadd st(0),qword ptr ss:[esp+esi*2+747C9E60]                                                                                                                                                             "SystemFunction023"
747651F5 fadd st(0),qword ptr ss:[esp+esi*2+747C9E74]                                                                                                                                                             "SystemFunction024"
