Address  Disassembly                                                                                                                                                                                              String                                                                                                                                                                                                                                                                                                                                                                                                                                                                
74880745 push kernelbase.747B4C68                                                                                                                                                                                 L":70"
7488074C push kernelbase.747B4C58                                                                                                                                                                                 L":80"
74880753 push kernelbase.747B4C60                                                                                                                                                                                 L":21"
74880BB5 mov edi,kernelbase.74763AF8                                                                                                                                                                              &L"http"
74880D68 mov edi,kernelbase.74763AF8                                                                                                                                                                              &L"http"
74880DDB push kernelbase.747B4D0C                                                                                                                                                                                 L"http://"
74880E03 push kernelbase.747B4D20                                                                                                                                                                                 L"Software\\Microsoft\\Windows\\CurrentVersion\\URL\\DefaultPrefix"
74880E87 push kernelbase.747B4C88                                                                                                                                                                                 "Software\\Microsoft\\Windows\\CurrentVersion\\URL\\Prefixes"
74881B9E push dword ptr ds:[edi+74763AF8]                                                                                                                                                                         &L"http"
74881BD2 push kernelbase.747B4CE0                                                                                                                                                                                 L"URL Protocol"
74881C10 mov edx,dword ptr ds:[edi+74763AF8]                                                                                                                                                                      &L"http"
74881CC3 mov edx,dword ptr ds:[edi+74763AF8]                                                                                                                                                                      &L"http"
74882316 mov dword ptr ss:[ebp-208],kernelbase.747B4DB8                                                                                                                                                           "FailFast"
74882322 mov dword ptr ss:[ebp-208],kernelbase.747B4DB0                                                                                                                                                           "LogHr"
7488232E mov dword ptr ss:[ebp-208],kernelbase.747B4DA4                                                                                                                                                           "ReturnHr"
7488233A mov dword ptr ss:[ebp-208],kernelbase.747B4D98                                                                                                                                                           "Exception"
74882388 push kernelbase.747B4DC4                                                                                                                                                                                 L"%hs(%d)\\%hs!%p: "
74882399 push kernelbase.747B4DE8                                                                                                                                                                                 L"%hs!%p: "
748823B3 push kernelbase.747B4DFC                                                                                                                                                                                 L"(caller: %p) "
748823DD push kernelbase.747B4E18                                                                                                                                                                                 L"%hs(%d) tid(%x) %08X %ws"
74882401 push kernelbase.747B4E4C                                                                                                                                                                                 L"    "
74882419 push kernelbase.747B4E58                                                                                                                                                                                 L"Msg:[%ws] "
74882431 push kernelbase.747B4E70                                                                                                                                                                                 L"CallContext:[%hs] "
7488244C push kernelbase.747B4E98                                                                                                                                                                                 L"[%hs(%hs)]\n"
74882466 push kernelbase.747B4EB0                                                                                                                                                                                 L"[%hs]\n"
748829A2 push kernelbase.747AD6F0                                                                                                                                                                                 "internal\\sdk\\inc\\wil\\resource.h"
748829DD push kernelbase.747AD6F0                                                                                                                                                                                 "internal\\sdk\\inc\\wil\\resource.h"
74882A9C push kernelbase.747AD6F0                                                                                                                                                                                 "internal\\sdk\\inc\\wil\\resource.h"
7488312F lea eax,dword ptr ds:[eax*4+747B4EF4]                                                                                                                                                                    "GMT"
74883140 lea eax,dword ptr ds:[eax*4+747B4F28]                                                                                                                                                                    "Sun"
74883148 push kernelbase.747B4ED4                                                                                                                                                                                 "%s, %02i %s %02i %02i:%02i:%02i GMT"
7488348B push kernelbase.747B4F60                                                                                                                                                                                 L"-001"
74883641 push kernelbase.747B4F44                                                                                                                                                                                 "NlsDllCodePageTranslation"
74883EA9 mov edx,kernelbase.747B5280                                                                                                                                                                              L"\\Registry\\Machine\\"
74883EBD push kernelbase.747B5210                                                                                                                                                                                 L"Software\\Policies\\Microsoft\\Control Panel\\International"
74883F1E push kernelbase.747B5210                                                                                                                                                                                 L"Software\\Policies\\Microsoft\\Control Panel\\International"
74883FBF mov eax,kernelbase.747B52A8                                                                                                                                                                              L"\n0123456789"
74884130 push kernelbase.747B5210                                                                                                                                                                                 L"Software\\Policies\\Microsoft\\Control Panel\\International"
74884135 mov edx,kernelbase.747B5280                                                                                                                                                                              L"\\Registry\\Machine\\"
7488414D mov edx,kernelbase.747B52C0                                                                                                                                                                              L"RestrictSystemLocales"
74884158 mov edx,kernelbase.747B52EC                                                                                                                                                                              L"RestrictUserLocales"
748841B2 push kernelbase.747B5210                                                                                                                                                                                 L"Software\\Policies\\Microsoft\\Control Panel\\International"
748841D8 mov edx,kernelbase.747B52EC                                                                                                                                                                              L"RestrictUserLocales"
748841FF mov edx,kernelbase.747B5314                                                                                                                                                                              L"AllowableSystemLocaleTagList"
74884208 mov edx,kernelbase.747B5350                                                                                                                                                                              L"AllowableUserLocaleTagList"
7488430C mov edx,kernelbase.747B56EC                                                                                                                                                                              L"sCurrencyOverride"
748843AA mov edx,kernelbase.748E4C08                                                                                                                                                                              &L"Arab"
748843D2 mov edx,kernelbase.748E4BC0                                                                                                                                                                              &L"ar"
7488445F push kernelbase.747B53C4                                                                                                                                                                                 L"Unknown Language"
74884485 push kernelbase.747B53B8                                                                                                                                                                                 L" ("
74884502 push kernelbase.747B5398                                                                                                                                                                                 L"Unknown Locale"
74884527 push kernelbase.747B53B8                                                                                                                                                                                 L" ("
7488459B push kernelbase.747B53E8                                                                                                                                                                                 L"Unknown Region"
748845C1 push kernelbase.747B53B8                                                                                                                                                                                 L" ("
748846D3 mov ecx,kernelbase.747B5978                                                                                                                                                                              L"zh-TW"
74884E1D mov esi,kernelbase.747B5724                                                                                                                                                                              L"sMonDecimalSep"
74884E24 mov esi,kernelbase.747B5710                                                                                                                                                                              L"sCurrency"
74884E2B mov esi,kernelbase.747B5670                                                                                                                                                                              L"sGrouping"
74884E32 mov esi,kernelbase.747B565C                                                                                                                                                                              L"sThousand"
74884E39 mov esi,kernelbase.747B5648                                                                                                                                                                              L"sDecimal"
74884E40 mov esi,kernelbase.747B5744                                                                                                                                                                              L"sMonThousandSep"
74884E60 mov esi,kernelbase.747B57DC                                                                                                                                                                              L"sNegativeSign"
74884E67 mov esi,kernelbase.747B57C0                                                                                                                                                                              L"sPositiveSign"
74884E6E mov esi,kernelbase.747B5874                                                                                                                                                                              L"s2359"
74884E75 mov esi,kernelbase.747B5868                                                                                                                                                                              L"s1159"
74884E7C mov esi,kernelbase.747B5764                                                                                                                                                                              L"sMonGrouping"
74885260 push kernelbase.747B55B8                                                                                                                                                                                 L"dMyg'"
74885391 push kernelbase.747B55C4                                                                                                                                                                                 L"hHmst'"
748857AA mov ecx,kernelbase.747B5610                                                                                                                                                                              L"sList"
748857D3 mov ecx,kernelbase.747B561C                                                                                                                                                                              L"iMeasure"
7488580D mov ecx,kernelbase.747B5648                                                                                                                                                                              L"sDecimal"
7488582B mov ecx,kernelbase.747B565C                                                                                                                                                                              L"sThousand"
74885845 mov ecx,kernelbase.747B5670                                                                                                                                                                              L"sGrouping"
7488586C mov ecx,kernelbase.747B5684                                                                                                                                                                              L"iDigits"
74885895 mov ecx,kernelbase.747B5694                                                                                                                                                                              L"iLZero"
748858A9 mov ecx,kernelbase.747B56BC                                                                                                                                                                              L"sNativeDigits"
7488592A mov ecx,kernelbase.747B56EC                                                                                                                                                                              L"sCurrencyOverride"
74885956 mov ecx,kernelbase.747B5710                                                                                                                                                                              L"sCurrency"
74885979 mov ecx,kernelbase.747B5724                                                                                                                                                                              L"sMonDecimalSep"
74885997 mov ecx,kernelbase.747B5744                                                                                                                                                                              L"sMonThousandSep"
748859B1 mov ecx,kernelbase.747B5764                                                                                                                                                                              L"sMonGrouping"
748859EC mov ecx,kernelbase.747B5780                                                                                                                                                                              L"iCurrDigits"
74885A1E mov ecx,kernelbase.747B5798                                                                                                                                                                              L"iCurrency"
74885A50 mov ecx,kernelbase.747B57AC                                                                                                                                                                              L"iNegCurr"
74885AC9 mov ecx,kernelbase.747B5810                                                                                                                                                                              L"sTimeFormat"
74885AF3 mov ecx,kernelbase.747B585C                                                                                                                                                                              L"sTime"
74885BF0 mov ecx,kernelbase.747B5810                                                                                                                                                                              L"sTimeFormat"
74885C1D mov ecx,kernelbase.747B5828                                                                                                                                                                              L"iTime"
74885C30 mov ecx,kernelbase.747B5868                                                                                                                                                                              L"s1159"
74885C43 mov ecx,kernelbase.747B5874                                                                                                                                                                              L"s2359"
74885C59 push kernelbase.747B5880                                                                                                                                                                                 L"dMy"
74885C72 mov ecx,kernelbase.747B5888                                                                                                                                                                              L"sShortDate"
74885CC1 mov ecx,kernelbase.747B58A0                                                                                                                                                                              L"iDate"
74885D05 mov ecx,kernelbase.747B58AC                                                                                                                                                                              L"sDate"
74885D91 mov ecx,kernelbase.747B5888                                                                                                                                                                              L"sShortDate"
74885DA3 push kernelbase.747B5880                                                                                                                                                                                 L"dMy"
74885DB9 mov ecx,kernelbase.747B58D8                                                                                                                                                                              L"sLongDate"
74885DD7 mov ecx,kernelbase.747B57C0                                                                                                                                                                              L"sPositiveSign"
74885E5C mov ecx,kernelbase.747B5630                                                                                                                                                                              L"iPaperSize"
74885EAF mov ecx,kernelbase.747B58EC                                                                                                                                                                              L"iCalendarType"
74885EC1 push kernelbase.747B58B8                                                                                                                                                                                 L"My"
74885ED7 mov ecx,kernelbase.747B58C0                                                                                                                                                                              L"sYearMonth"
74885EF0 mov ecx,kernelbase.747B5810                                                                                                                                                                              L"sTimeFormat"
74885F3F mov ecx,kernelbase.747B5828                                                                                                                                                                              L"iTime"
74885F8A mov ecx,kernelbase.747B5834                                                                                                                                                                              L"iTLZero"
74885FD8 mov ecx,kernelbase.747B5844                                                                                                                                                                              L"iTimePrefix"
7488601C mov ecx,kernelbase.747B585C                                                                                                                                                                              L"sTime"
7488605F mov ecx,kernelbase.747B57F8                                                                                                                                                                              L"sShortTime"
7488607D mov ecx,kernelbase.747B57DC                                                                                                                                                                              L"sNegativeSign"
748860C1 mov ecx,kernelbase.747B5908                                                                                                                                                                              L"iFirstDayOfWeek"
7488610F mov ecx,kernelbase.747B55FC                                                                                                                                                                              L"sCountry"
74886122 mov ecx,kernelbase.747B55E8                                                                                                                                                                              L"iCountry"
74886132 mov ecx,kernelbase.747B55D4                                                                                                                                                                              L"sLanguage"
74886151 mov ecx,kernelbase.747B56D8                                                                                                                                                                              L"NumShape"
7488616D mov ecx,kernelbase.747B56A4                                                                                                                                                                              L"iNegNumber"
74886194 mov ecx,kernelbase.747B5928                                                                                                                                                                              L"iFirstWeekOfYear"
748862A7 push kernelbase.747B594C                                                                                                                                                                                 L"PreventUserOverrides"
748864B9 push kernelbase.7478A958                                                                                                                                                                                 L"Control Panel\\International\\Calendars\\TwoDigitYearMax"
748864D6 push kernelbase.747B5988                                                                                                                                                                                 L"Control Panel\\International\\Calendars"
748864FF push kernelbase.7478A958                                                                                                                                                                                 L"Control Panel\\International\\Calendars\\TwoDigitYearMax"
7488659E mov edx,kernelbase.747B59DC                                                                                                                                                                              L"10"
748865B6 mov edx,kernelbase.747B59E4                                                                                                                                                                              L"11"
748865C9 mov edx,kernelbase.747B59EC                                                                                                                                                                              L"12"
74886690 push kernelbase.747B5388                                                                                                                                                                                 L"Locale"
748866A0 push kernelbase.7478ABA8                                                                                                                                                                                 L"Control Panel\\International"
74886F6D mov edx,kernelbase.747ADAD0                                                                                                                                                                              L"65001"
7488700A push kernelbase.747ADADC                                                                                                                                                                                 L"65000"
74887030 push kernelbase.747ADAD0                                                                                                                                                                                 L"65001"
7488704D push kernelbase.747ADADC                                                                                                                                                                                 L"65000"
7488706C push kernelbase.747ADAD0                                                                                                                                                                                 L"65001"
74887501 push kernelbase.747AD734                                                                                                                                                                                 L"\\Nls\\CustomLocale"
74887506 mov edx,kernelbase.7478B590                                                                                                                                                                              L"\\Registry\\Machine\\System\\CurrentControlSet\\Control"
7488754E push kernelbase.747AD758                                                                                                                                                                                 L"\\Nls\\ExtendedLocale"
74887553 mov edx,kernelbase.7478B590                                                                                                                                                                              L"\\Registry\\Machine\\System\\CurrentControlSet\\Control"
74887795 mov eax,kernelbase.747B5A44                                                                                                                                                                              L"th"
7488779B mov eax,kernelbase.747B5A3C                                                                                                                                                                              L"ae"
748877A1 mov eax,kernelbase.747B5A34                                                                                                                                                                              L"ss"
748877A7 mov eax,kernelbase.747B5A2C                                                                                                                                                                              L"TH"
748877AD mov eax,kernelbase.747B5A24                                                                                                                                                                              L"AE"
748877B3 mov eax,kernelbase.747B5A4C                                                                                                                                                                              L"IJ"
748877E4 mov eax,kernelbase.747B5A64                                                                                                                                                                              L"oe"
748877EA mov eax,kernelbase.747B5A5C                                                                                                                                                                              L"OE"
748877F0 mov eax,kernelbase.747B5A54                                                                                                                                                                              L"ij"
74887826 mov eax,kernelbase.747B5AA4                                                                                                                                                                              L"Nj"
7488782C mov eax,kernelbase.747B5A9C                                                                                                                                                                              L"NJ"
74887832 mov eax,kernelbase.747B5A94                                                                                                                                                                              L"lj"
74887838 mov eax,kernelbase.747B5A8C                                                                                                                                                                              L"Lj"
7488783E mov eax,kernelbase.747B5A84                                                                                                                                                                              L"LJ"
74887844 mov eax,kernelbase.747B5AAC                                                                                                                                                                              L"nj"
74887864 mov eax,kernelbase.747B5ACC                                                                                                                                                                              L"Dz"
7488786A mov eax,kernelbase.747B5AC4                                                                                                                                                                              L"DZ"
7488787C mov eax,kernelbase.747B5AD4                                                                                                                                                                              L"dz"
748878BF mov eax,kernelbase.747B5AFC                                                                                                                                                                              L"fn"
748878C5 mov eax,kernelbase.747B5AF4                                                                                                                                                                              L"Qp"
748878CB mov eax,kernelbase.747B5AEC                                                                                                                                                                              L"Db"
748878DD mov eax,kernelbase.747B5B04                                                                                                                                                                              L"ls"
74887913 mov eax,kernelbase.747B5B0C                                                                                                                                                                              L"lz"
74887CDF mov eax,kernelbase.747B5D44                                                                                                                                                                              L"eV"
74887CE5 mov eax,kernelbase.747B5D3C                                                                                                                                                                              L"Hg"
74887CF7 mov eax,kernelbase.747B5D4C                                                                                                                                                                              L"da"
74887D14 mov eax,kernelbase.747B5D6C                                                                                                                                                                              L"dm"
74887D1A mov eax,kernelbase.747B5D64                                                                                                                                                                              L"pc"
74887D20 mov eax,kernelbase.747B5D5C                                                                                                                                                                              L"oV"
74887D26 mov eax,kernelbase.747B5D54                                                                                                                                                                              L"AU"
74887D54 mov eax,kernelbase.747B5D84                                                                                                                                                                              L"IU"
74887D5A mov eax,kernelbase.747B5D8C                                                                                                                                                                              L"pA"
74887D60 mov eax,kernelbase.747B5D94                                                                                                                                                                              L"nA"
74887D6C mov eax,kernelbase.747B5DA4                                                                                                                                                                              L"mA"
74887D72 mov eax,kernelbase.747B5DAC                                                                                                                                                                              L"kA"
74887D78 mov eax,kernelbase.747B5DB4                                                                                                                                                                              L"KB"
74887D7E mov eax,kernelbase.747B5DBC                                                                                                                                                                              L"MB"
74887D84 mov eax,kernelbase.747B5DC4                                                                                                                                                                              L"GB"
74887D8A mov eax,kernelbase.747B5DCC                                                                                                                                                                              L"pF"
74887D90 mov eax,kernelbase.747B5DD4                                                                                                                                                                              L"nF"
74887DA2 mov eax,kernelbase.747B5DEC                                                                                                                                                                              L"mg"
74887DA8 mov eax,kernelbase.747B5DF4                                                                                                                                                                              L"kg"
74887DAE mov eax,kernelbase.747B5DFC                                                                                                                                                                              L"Hz"
74887DCC mov eax,kernelbase.747B5E24                                                                                                                                                                              L"fm"
74887DE7 mov eax,kernelbase.747B5E2C                                                                                                                                                                              L"nm"
74887DED mov eax,kernelbase.747B5E34                                                                                                                                                                              &L"Switzerland)"
74887DF3 mov eax,kernelbase.747B5E3C                                                                                                                                                                              L"mm"
74887DF9 mov eax,kernelbase.747B5E44                                                                                                                                                                              L"cm"
74887DFF mov eax,kernelbase.747B5E4C                                                                                                                                                                              L"km"
74887E35 mov eax,kernelbase.747B5E94                                                                                                                                                                              L"Pa"
74887E3B mov eax,kernelbase.747B55A0                                                                                                                                                                              L"ps"
74887E41 mov eax,kernelbase.747B5E9C                                                                                                                                                                              L"ns"
74887E4D mov eax,kernelbase.747B5EAC                                                                                                                                                                              L"ms"
74887E53 mov eax,kernelbase.747B5EB4                                                                                                                                                                              L"pV"
74887E59 mov eax,kernelbase.747B5EBC                                                                                                                                                                              L"nV"
74887E65 mov eax,kernelbase.747B5ECC                                                                                                                                                                              L"mV"
74887E6B mov eax,kernelbase.747B5ED4                                                                                                                                                                              L"kV"
74887E71 mov eax,kernelbase.747B5EDC                                                                                                                                                                              L"MV"
74887E77 mov eax,kernelbase.747B5EE4                                                                                                                                                                              L"pW"
74887E7D mov eax,kernelbase.747B5EEC                                                                                                                                                                              L"nW"
74887E89 mov eax,kernelbase.747B5EFC                                                                                                                                                                              L"mW"
74887E8F mov eax,kernelbase.747B5F04                                                                                                                                                                              L"kW"
74887E95 mov eax,kernelbase.747B5F0C                                                                                                                                                                              L"MW"
74887EA7 mov eax,kernelbase.747B5F24                                                                                                                                                                              L"Bq"
74887EAD mov eax,kernelbase.747B5F2C                                                                                                                                                                              L"cc"
74887EB3 mov eax,kernelbase.747B5F34                                                                                                                                                                              L"cd"
74887EB9 mov eax,kernelbase.747B5F3C                                                                                                                                                                              L"dB"
